"AREA","AGE_ADJUSTED_CI_LOWER","AGE_ADJUSTED_CI_UPPER","AGE_ADJUSTED_RATE","COUNT","EVENT_TYPE","POPULATION","RACE","SEX","SITE","YEAR"
"Indiana",78.8,108.1,92.7,175,"Incidence",283622,"Hispanic of any race","Female","Female Breast","2022"
"Indiana",22.4,39.1,29.9,57,"Incidence",283622,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Indiana",NA,NA,NA,NA,"Incidence",9857,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Indiana",NA,NA,NA,NA,"Incidence",9857,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Indiana",68.2,111,87.7,73,"Incidence",99844,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Indiana",18.7,43.3,29.2,25,"Incidence",99844,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Indiana",104.8,128,116,412,"Incidence",376012,"Non-Hispanic Black","Female","Female Breast","2022"
"Indiana",26.2,38.4,31.9,116,"Incidence",376012,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Indiana",119.2,126.9,123,4352,"Incidence",2673753,"Non-Hispanic White","Female","Female Breast","2022"
"Indiana",25.5,29.3,27.4,945,"Incidence",2673753,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Iowa",133.9,144.9,139.3,2799,"Incidence",1595551,"All Races","Female","Female Breast","2022"
"Iowa",27.5,32.7,30,579,"Incidence",1595551,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Iowa",54.9,100,75.1,51,"Incidence",109999,"Hispanic of any race","Female","Female Breast","2022"
"Iowa",NA,NA,NA,NA,"Incidence",109999,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Iowa",NA,NA,NA,NA,"Incidence",5727,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Iowa",NA,NA,NA,NA,"Incidence",5727,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Iowa",58.9,121.8,86.3,34,"Incidence",48229,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Iowa",NA,NA,NA,NA,"Incidence",48229,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Iowa",111.3,189.8,147,64,"Incidence",73377,"Non-Hispanic Black","Female","Female Breast","2022"
"Iowa",NA,NA,NA,NA,"Incidence",73377,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Iowa",136.1,147.8,141.8,2623,"Incidence",1358219,"Non-Hispanic White","Female","Female Breast","2022"
"Iowa",26.1,31.6,28.7,512,"Incidence",1358219,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Kansas",130.6,142,136.2,2441,"Incidence",1463247,"All Races","Female","Female Breast","2022"
"Kansas",23.3,28.4,25.8,453,"Incidence",1463247,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Kansas",77.7,113.2,94.3,124,"Incidence",191102,"Hispanic of any race","Female","Female Breast","2022"
"Kansas",10.7,26.8,17.5,22,"Incidence",191102,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Kansas",NA,NA,NA,NA,"Incidence",14408,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Kansas",NA,NA,NA,NA,"Incidence",14408,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Kansas",53.8,107.2,77.2,37,"Incidence",51856,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Kansas",NA,NA,NA,NA,"Incidence",51856,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Kansas",112.7,164.7,137,118,"Incidence",94336,"Non-Hispanic Black","Female","Female Breast","2022"
"Kansas",25.6,52.6,37.4,34,"Incidence",94336,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Kansas",133.5,146.3,139.8,2121,"Incidence",1111545,"Non-Hispanic White","Female","Female Breast","2022"
"Kansas",22.7,28.4,25.4,371,"Incidence",1111545,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Kentucky",125.5,134.2,129.8,3758,"Incidence",2275047,"All Races","Female","Female Breast","2022"
"Kentucky",26.1,30.2,28.1,810,"Incidence",2275047,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Kentucky",86.2,140.8,111.2,75,"Incidence",102439,"Hispanic of any race","Female","Female Breast","2022"
"Kentucky",NA,NA,NA,NA,"Incidence",102439,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Kentucky",NA,NA,NA,NA,"Incidence",5021,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Kentucky",NA,NA,NA,NA,"Incidence",5021,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Kentucky",85.2,153.4,115.6,49,"Incidence",44471,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Kentucky",NA,NA,NA,NA,"Incidence",44471,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Kentucky",118.8,152,134.6,277,"Incidence",205101,"Non-Hispanic Black","Female","Female Breast","2022"
"Kentucky",31.3,49,39.4,86,"Incidence",205101,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Kentucky",124.7,133.9,129.2,3347,"Incidence",1918015,"Non-Hispanic White","Female","Female Breast","2022"
"Kentucky",25.7,30.1,27.8,703,"Incidence",1918015,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Louisiana",128.2,137,132.5,3839,"Incidence",2344398,"All Races","Female","Female Breast","2022"
"Louisiana",26.7,30.9,28.8,820,"Incidence",2344398,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Louisiana",59.5,90.1,73.7,95,"Incidence",154354,"Hispanic of any race","Female","Female Breast","2022"
"Louisiana",7.1,20.1,12.4,16,"Incidence",154354,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Louisiana",NA,NA,NA,NA,"Incidence",16229,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Louisiana",NA,NA,NA,NA,"Incidence",16229,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Louisiana",45.3,92.4,65.7,34,"Incidence",47189,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Louisiana",NA,NA,NA,NA,"Incidence",47189,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
